"binary","filename","configuration","rate","time"
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",392265.9280560752,0.002549291
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32118.323905267003,0.031134875
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27438.135578687426,0.036445625
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15296.503523694902,0.065374417
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9990.829218044173,0.100091792
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",365402.52010810067,0.002736708
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",388418.75114826293,0.002574541
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32743.361267131408,0.030540542
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28182.079455314804,0.035483542
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15186.711044666214,0.065847042
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9878.45382480248,0.101230417
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",353502.53850172897,0.002828834
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",393191.18685546133,0.002543292
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32795.17328510431,0.030492292
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27510.757600321347,0.036349417
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15265.097421775421,0.065508917
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10084.71157724889,0.099160000
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",380360.75696354965,0.002629083
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",387684.503901463,0.002579417
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33326.067139827945,0.030006541
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28531.315172656683,0.035049208
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15078.350880764172,0.066320250
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9977.878245699025,0.100221708
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",376695.08077660966,0.002654667
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",391064.183409102,0.002557125
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33161.583963057994,0.030155375
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28012.153128659174,0.035698791
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15542.008105157227,0.064341750
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10151.545623071263,0.098507167
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",372208.3905448647,0.002686667
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",388406.07855512935,0.002574625
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",31971.821826664003,0.031277542
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28517.279147004832,0.035066459
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15378.828686276787,0.065024458
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9907.362004168977,0.100935042
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",369139.90402362496,0.002709000
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",395107.15108383814,0.002530959
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32810.10296564943,0.030478417
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28441.309580099616,0.035160125
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15286.409843567442,0.065417584
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9999.633313446395,0.100003667
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",360940.2059236063,0.002770542
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",345671.85992546624,0.002892917
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",31925.167407596597,0.031323250
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27773.92028884877,0.036005000
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15234.719340363466,0.065639542
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10067.029706576486,0.099334166
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",363196.1698784709,0.002753333
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",390726.64998003386,0.002559334
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33250.34601141318,0.030074875
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28371.846412527553,0.035246208
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15340.609312740855,0.065186459
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9621.421132008303,0.103934750
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",374765.8182093464,0.002668333
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",393036.64830923494,0.002544292
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33063.908766359775,0.030244458
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28642.351944961774,0.034913334
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15330.37909773943,0.065229959
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10001.583550723586,0.099984167
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",347649.7831708302,0.002876458
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",391172.48868240195,0.002556417
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32465.68782617871,0.030801750
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28356.192110479355,0.035265666
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15125.971053308189,0.066111458
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9867.138973718875,0.101346500
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",363939.69082595385,0.002747708
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",388079.4414139752,0.002576792
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32456.5551968998,0.030810417
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28532.29856197215,0.035048000
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15295.782188061641,0.065377500
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10004.34348576778,0.099956584
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",368737.27395483264,0.002711958
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",380970.5224058288,0.002624875
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32920.09397765068,0.030376584
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",26773.791103759977,0.037349959
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",14928.789598968971,0.066984667
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10093.397538242545,0.099074667
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",374888.75176291435,0.002667458
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",387471.7968965834,0.002580833
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33199.613038590265,0.030120833
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28494.12157723625,0.035094958
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15330.95703499291,0.065227500
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9986.680265196295,0.100133375
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",369794.03951175354,0.002704208
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",389130.192845141,0.002569834
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32917.20500012344,0.030379250
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28056.26268248284,0.035642666
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15244.047675759106,0.065599375
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10018.642991437757,0.099813917
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",373059.0205484639,0.002680541
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",394990.2595401997,0.002531708
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33121.99732533247,0.030191416
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27947.370964263388,0.035781541
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15378.907443967912,0.065024125
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10101.150394765584,0.098998625
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",380674.5248039907,0.002626916
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",392792.26199243875,0.002545875
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32590.673364050042,0.030683625
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28149.28975823279,0.035524875
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15323.282884029397,0.065260167
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9985.396357826678,0.100146250
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",376157.908080549,0.002658458
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",398320.3626945894,0.002510542
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33255.506579801506,0.030070208
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27843.196140532073,0.035915417
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15360.639081232252,0.065101458
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10000.42911841347,0.099995709
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",349854.2682045794,0.002858333
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",384418.2963119293,0.002601333
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33236.11768909274,0.030087750
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28152.29400093758,0.035521084
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15258.711297461343,0.065536334
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10036.852008413733,0.099632833
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",372624.47241032514,0.002683667
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",390739.4744554069,0.002559250
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33053.343965492306,0.030254125
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28416.42347654652,0.035190917
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15392.815018769612,0.064965375
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10066.071174672757,0.099343625
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",361647.30346729356,0.002765125
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",388123.42324859306,0.002576500
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33289.36363220247,0.030039625
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",27813.446204748187,0.035953833
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15412.060708107128,0.064884250
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10032.853481682583,0.099672541
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",376754.26203258923,0.002654250
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",395068.28360213776,0.002531208
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",31094.970195782018,0.032159542
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28795.208477309374,0.034728000
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15248.250979867857,0.065581292
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10043.677442277101,0.099565125
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",379842.95013383764,0.002632667
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",386448.48815554706,0.002587667
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32850.20644219485,0.030441209
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28341.725365450253,0.035283667
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15374.986385449554,0.065040708
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10042.315808236957,0.099578625
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",349035.14469775476,0.002865041
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",384104.3780601116,0.002603459
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32707.038250456044,0.030574459
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28350.932032637935,0.035272209
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15255.821049219092,0.065548750
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10038.388504165976,0.099617583
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",373925.01233017724,0.002674333
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",395029.1116703846,0.002531459
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",32971.969341871576,0.030328792
"new","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28499.26436273864,0.035088625
